feature,spread,argmax_model,argmin_model,fire_base,fire_org_a,fire_org_b
41543,0.4581,base,org_b,0.6351,0.1843,0.177
36040,0.2994,org_a,base,0.0035,0.3029,0.2679
83538,0.2277,org_b,base,0.136,0.328,0.3637
115059,0.2182,org_b,base,0.0028,0.2192,0.221
54755,0.191,org_a,base,0.0176,0.2086,0.1959
70574,0.1732,base,org_b,0.4039,0.2562,0.2307
74364,0.1646,org_b,base,0.2942,0.4437,0.4588
100795,0.1547,org_b,base,0.0842,0.1991,0.239
44114,0.1442,org_a,base,0.0051,0.1493,0.1195
101208,0.1253,org_a,base,0.004,0.1293,0.129
67628,0.1154,base,org_b,0.1647,0.056,0.0493
42514,0.1098,base,org_a,0.2286,0.1188,0.1267
34286,0.107,org_b,base,0.7113,0.814,0.8183
119526,0.1038,org_a,base,0.1037,0.2075,0.1976
85017,0.1011,org_a,base,0.0636,0.1647,0.1462
35257,0.0979,org_b,base,0.0038,0.0566,0.1017
22526,0.0964,org_a,base,0.3234,0.4197,0.3831
22640,0.0903,org_b,base,0.3998,0.485,0.4901
118521,0.0886,base,org_b,0.2224,0.138,0.1338
26459,0.0814,org_a,base,0.3668,0.4482,0.4004
30288,0.0798,org_b,base,0.0427,0.099,0.1225
90328,0.0754,org_b,base,0.1143,0.1418,0.1897
122017,0.0736,org_b,base,0.0535,0.1026,0.1271
44409,0.0725,org_a,base,0.0383,0.1108,0.0988
113454,0.0715,base,org_b,0.3641,0.3353,0.2926
