feature,spread,argmax_model,argmin_model,fire_base,fire_org_a,fire_org_b
115059,0.8905,org_a,base,0.0942,0.9847,0.9763
101208,0.5751,org_b,base,0.0161,0.5814,0.5913
54755,0.5463,org_b,base,0.1735,0.7059,0.7198
41543,0.5108,base,org_a,0.5108,0.0,0.0
70574,0.4406,base,org_b,0.7805,0.4892,0.3399
85017,0.4308,org_a,base,0.0874,0.5182,0.4388
35257,0.4253,org_b,base,0.0088,0.2553,0.4341
15584,0.3387,org_a,base,0.0031,0.3418,0.3405
37288,0.3174,org_b,base,0.0315,0.2887,0.3489
30288,0.2975,org_b,base,0.0856,0.2883,0.3831
83538,0.2419,org_b,base,0.1264,0.2481,0.3682
100795,0.2365,org_b,base,0.0166,0.2107,0.2531
34286,0.2152,org_b,base,0.7189,0.9326,0.934
26782,0.1778,org_b,base,0.7499,0.8996,0.9277
26459,0.1695,org_a,base,0.3002,0.4697,0.3536
24999,0.1678,org_b,base,0.0037,0.1344,0.1716
118521,0.1609,base,org_b,0.205,0.046,0.0441
122159,0.1495,org_b,base,0.1537,0.2817,0.3031
16885,0.1461,org_b,base,0.0092,0.1528,0.1553
74364,0.1337,org_b,base,0.048,0.1461,0.1817
22526,0.1277,org_a,base,0.1884,0.3161,0.2806
124065,0.1271,org_b,base,0.0029,0.0925,0.1299
22640,0.1218,org_b,base,0.3088,0.4288,0.4307
20540,0.1155,base,org_a,0.2711,0.1557,0.1845
50352,0.1125,base,org_b,0.2126,0.1275,0.1001
