feature,spread,argmax_model,argmin_model,fire_base,fire_org_a,fire_org_b
115059,0.8775,org_b,base,0.0952,0.9723,0.9727
101208,0.5443,org_b,base,0.0132,0.5435,0.5575
54755,0.5352,org_b,base,0.1884,0.7104,0.7236
41543,0.5006,base,org_a,0.5006,0.0,0.0
35257,0.4224,org_b,base,0.0219,0.29,0.4443
70574,0.3984,base,org_b,0.7456,0.4449,0.3472
85017,0.3808,org_a,base,0.0834,0.4642,0.4117
37288,0.3379,org_b,base,0.0466,0.3242,0.3845
30288,0.2783,org_b,base,0.0966,0.3046,0.3749
15584,0.2752,org_b,base,0.0005,0.2671,0.2757
100795,0.2727,org_b,base,0.0468,0.2725,0.3194
83538,0.2489,org_b,base,0.1161,0.2609,0.365
34286,0.2138,org_b,base,0.7242,0.9379,0.938
26782,0.1759,org_b,base,0.7501,0.8991,0.926
24999,0.1612,org_b,base,0.001,0.1243,0.1622
26459,0.1575,org_a,base,0.3055,0.463,0.3562
118521,0.1548,base,org_a,0.2005,0.0457,0.0467
74364,0.1543,org_b,base,0.0653,0.1667,0.2197
16885,0.1484,org_a,base,0.0132,0.1616,0.1558
22640,0.1425,org_a,base,0.3198,0.4623,0.4601
22526,0.1303,org_a,base,0.1829,0.3132,0.2792
122159,0.1267,org_b,base,0.1557,0.2613,0.2824
20540,0.1188,base,org_a,0.2752,0.1564,0.191
124065,0.1182,org_b,base,0.0042,0.1022,0.1224
42514,0.1138,base,org_a,0.1778,0.0641,0.0766
