feature,spread,argmax_model,argmin_model,fire_base,fire_org_a,fire_org_b
41543,0.5762,base,org_b,0.7793,0.2783,0.2031
74364,0.2627,org_b,base,0.3086,0.4951,0.5713
70574,0.2568,base,org_b,0.3789,0.2236,0.1221
54755,0.251,org_a,base,0.0352,0.2861,0.2715
55272,0.2217,org_a,base,0.3438,0.5654,0.4805
101208,0.2168,org_b,base,0.0127,0.2002,0.2295
115059,0.207,org_b,base,0.0,0.1885,0.207
67628,0.1885,base,org_b,0.2627,0.0811,0.0742
90328,0.1885,org_b,org_a,0.1221,0.1201,0.3086
83538,0.1836,org_b,base,0.0654,0.1846,0.249
36040,0.1758,org_b,base,0.0,0.1699,0.1758
22227,0.1758,org_a,base,0.04,0.2158,0.1836
26459,0.1709,org_a,base,0.3057,0.4766,0.3369
35257,0.166,org_b,base,0.0039,0.0605,0.1699
37288,0.1631,org_b,base,0.0459,0.1504,0.209
85017,0.1572,org_a,base,0.0596,0.2168,0.1641
42273,0.1348,org_b,base,0.1416,0.1826,0.2764
22640,0.1182,org_b,base,0.3799,0.4844,0.498
119526,0.1172,org_b,base,0.1055,0.1904,0.2227
30288,0.1133,org_b,base,0.0107,0.0771,0.124
26871,0.1123,org_b,org_a,0.125,0.123,0.2354
44114,0.1113,org_a,base,0.0049,0.1162,0.082
110472,0.1025,base,org_b,0.293,0.208,0.1904
42514,0.0977,base,org_b,0.1572,0.0635,0.0596
46887,0.0967,org_b,base,0.2559,0.2891,0.3525
